ISO3,Year,Country,INFORM_Mean,INFORM_Change,FTS_Requirements,FTS_Funding,FTS_Percent_Funded,FTS_Funding_Gap,Score_Coverage,Score_Efficiency,Score_Outcome,Score_Gap,Effectiveness_Score,Effectiveness_Category,Is_Good_Crisis
DOM,2023.0,Dominican Republic,1.9727272727272729,-0.4000000000000001,24991409.0,13388427.0,53.572117522465426,11602982.0,53.572117522465426,0.0,70.0,53.57211752246542,43.46466463735598,Needs Improvement,False
DOM,2024.0,Dominican Republic,1.8,0.0,19450420.0,13344369.0,68.60709948679772,6106051.0,68.60709948679772,0.0,50.0,68.60709948679771,47.73390471773874,Moderately Effective,True
DOM,2025.0,Dominican Republic,1.8916666666666664,0.1999999999999999,10727500.0,5231250.0,48.76485667676532,5496250.0,48.76485667676532,0.0,40.00000000000001,48.76485667676532,34.820671172220926,Needs Improvement,False
DZA,2020.0,Algeria,,,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
DZA,2021.0,Algeria,,,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
DZA,2022.0,Algeria,2.66,0.1,,,,,0.0,0.0,45.0,100.0,37.5,Needs Improvement,False
DZA,2023.0,Algeria,2.6272727272727274,-0.2000000000000001,,,,,0.0,0.0,60.00000000000001,100.0,45.0,Moderately Effective,True
DZA,2024.0,Algeria,2.708333333333333,0.1999999999999997,,,,,0.0,0.0,40.000000000000014,100.0,35.00000000000001,Needs Improvement,False
DZA,2025.0,Algeria,2.7,-0.1999999999999997,,,,,0.0,0.0,59.999999999999986,100.0,44.99999999999999,Needs Improvement,False
ECU,2020.0,Ecuador,2.4,0.0,106084922.0,126407929.0,119.15730022406012,-20323007.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
ECU,2021.0,Ecuador,2.35,0.1,236466451.0,89725059.0,37.94409677168116,146741392.0,37.94409677168116,0.0,45.0,37.94409677168116,29.86925322442464,Critical - Underfunded,False
ECU,2022.0,Ecuador,2.6166666666666667,0.3999999999999999,288286393.0,96328039.0,33.4140082012126,191958354.0,33.4140082012126,0.0,30.000000000000004,33.41400820121261,24.377704510666934,Critical - Underfunded,False
ECU,2023.0,Ecuador,2.7,-0.1999999999999997,300921389.0,84295221.0,28.012372693122188,216626168.0,28.012372693122188,0.0,59.999999999999986,28.012372693122188,27.406804981217203,Critical - Underfunded,False
